precision,recall,f1_score,avg_levenshtein_ratio,file_id,skipped
1.0,1.0,1.0,0.9884,23004,0
0.9792,1.0,0.9895,0.9922,34008,0
0.8636,0.9048,0.8837,0.9871,34237,0
0.9231,1.0,0.96,0.9782,51256,0
0.8889,1.0,0.9412,0.9756,42982,0
0.9394,0.9688,0.9538,0.9996,24626,0
0.0,0.0,0.0,0.0,20291,0
1.0,1.0,1.0,0.9976,22849,0
0.0,0.0,0.0,0.0,9543,0
1.0,1.0,1.0,0.9978,25465,0
1.0,1.0,1.0,0.9936,26178,0
1.0,1.0,1.0,0.9747,53281,0
1.0,1.0,1.0,0.9969,26781,0
1.0,1.0,1.0,0.9969,24631,0
1.0,1.0,1.0,0.9952,45152,0
1.0,1.0,1.0,0.9923,47750,0
1.0,1.0,1.0,0.9862,54062,0
0.0,0.0,0.0,0.0,35926,0
1.0,1.0,1.0,0.9878,45580,0
0.0,0.0,0.0,0.0,20324,0
0.9778,0.9778,0.9778,0.9914,22258,0
1.0,1.0,1.0,1.0,39095,0
1.0,1.0,1.0,0.9979,6865,0
0.9636,0.9298,0.9464,0.9896,36198,0
1.0,1.0,1.0,0.9872,9570,0
1.0,1.0,1.0,0.987,25468,0
1.0,1.0,1.0,0.9889,37078,0
0.0,0.0,0.0,0.0,22111,0
1.0,1.0,1.0,0.9823,37125,0
1.0,1.0,1.0,0.9863,52971,0
1.0,1.0,1.0,0.9918,22925,0
0.9,0.8182,0.8571,1.0,2998,0
1.0,1.0,1.0,0.9836,34212,0
0.0,0.0,0.0,0.0,22896,0
0.9615,1.0,0.9804,0.9956,46445,0
1.0,1.0,1.0,0.9915,46479,0
0.9429,0.75,0.8354,0.9886,55362,0
1.0,1.0,1.0,0.9994,11246,0
0.9762,0.9535,0.9647,0.9989,8898,0
0.0,0.0,0.0,0.0,11534,0
0.0,0.0,0.0,0.0,6294,0
1.0,1.0,1.0,0.9956,24572,0
1.0,1.0,1.0,0.9881,9937,0
1.0,1.0,1.0,0.9999,19468,0
1.0,1.0,1.0,0.9837,40723,0
1.0,1.0,1.0,1.0,5473,0
0.9778,0.9778,0.9778,0.9991,39222,0
1.0,1.0,1.0,0.9607,23093,0
0.9545,1.0,0.9767,0.9998,46227,0
0.9677,1.0,0.9836,0.9988,34466,0
0.0,0.0,0.0,0.0,6144,0
1.0,1.0,1.0,0.9926,22832,0
0.3548,0.3235,0.3385,0.8519,5048,0
0.8947,0.85,0.8718,0.9927,54422,0
1.0,1.0,1.0,0.9997,11218,0
1.0,1.0,1.0,0.9893,53995,0
1.0,1.0,1.0,0.9998,45661,0
0.0,0.0,0.0,0.0,19733,0
1.0,1.0,1.0,0.9924,22799,0
1.0,1.0,1.0,0.9984,49299,0
0.6364,0.875,0.7368,0.9578,54551,0
1.0,1.0,1.0,0.9948,27756,0
0.0,0.0,0.0,0.0,11018,0
1.0,1.0,1.0,0.9843,22439,0
1.0,1.0,1.0,0.9971,46829,0
